序号,汉字,拼音,义符（按字源）,声符（按字源）,构形依据,《说文》原文
1594,烧,shāo,火,堯,从火堯聲,爇也。从火堯聲。
1595,热,rè,火,埶,从火埶聲,溫也。从火埶聲。
1596,爱,ài,夊,㤅,从夊㤅聲,行皃。从夊㤅聲。
1597,特,tè,牛,寺,从牛寺聲,朴特，牛父也。从牛寺聲。
1598,牺,xī,牛,羲,从牛羲聲,宗廟之牲也。从牛羲聲。賈侍中說：此非古字。
1599,狷,juàn,犬,肙,从犬肙聲,褊急也。从犬肙聲。
1600,狻,suān,犬,夋,从犬夋聲,狻麑，如虦貓，食虎豹者。从犬夋聲。見《爾雅》。
1601,狼,láng,犬,良,从犬良聲,似犬，銳頭，白頰，高前，廣後。从犬良聲。
1602,猃,xiǎn,犬,僉,从犬僉聲,長喙犬。一曰黑犬黃頭。从犬僉聲。
1603,珙,gǒng,玉,共,从玉共聲,玉也。从玉共聲。
1604,珠,zhū,玉,朱,从玉朱聲,蚌之陰精。从玉朱聲。《春秋國語》曰：“珠以禦火灾”是也。
1605,珥,ěr,玉,耳,从玉、耳，耳亦聲,瑱也。从玉、耳，耳亦聲。
1606,珧,yáo,玉,兆,从玉兆聲,蜃甲也。所以飾物也。从玉兆聲。《禮》云：“佩刀，天子玉琫而珧珌。”
1607,珩,héng,玉,行,从玉行聲,佩上玉也。所以節行止也。从玉行聲。
1608,瓞,dié,瓜,失,从瓜失聲,㼎也。从瓜失聲。《詩》曰：“緜緜瓜瓞。”
1609,瓷,cí,瓦,次,从瓦次聲,瓦器。从瓦次聲。
1610,畔,pàn,田,半,从田半聲,田界也。从田半聲。
1611,畛,zhěn,田,㐱,从田㐱聲,井田閒陌也。从田㐱聲。
1612,疱,pào,皮,包,从皮包聲,面生气也。从皮包聲。
1613,疲,pí,疒,皮,从疒皮聲,勞也。从疒皮聲。
1614,疴,kē,疒,可,从疒可聲,病也。从疒可聲。《五行傳》曰：“時卽有口痾。”
1615,疸,dǎn,疒,旦,从疒旦聲,黃病也。从疒旦聲。
1616,疽,jū,疒,且,从疒且聲,癰也。从疒且聲。
1617,疾,jí,疒,矢,从疒矢聲,病也。从疒矢聲。
1618,痂,jiā,疒,加,从疒加聲,疥也。从疒加聲。
1619,病,bìng,疒,丙,从疒丙聲,疾加也。从疒丙聲。
1620,痈,yōng,疒,雝,从疒雝聲,腫也。从疒雝聲。
1621,痉,jìng,疒,巠,从疒巠聲,彊急也。从疒巠聲。
1622,盎,àng,皿,央,从皿央聲,盆也。从皿央聲。
1623,盐,yán,鹽,監,从鹵監聲,鹹也。从鹵監聲。古者，宿沙初作煑海鹽。凡鹽之屬皆从鹽。
1624,监,jiān,臥,䘓,从臥，䘓省聲,臨下也。从臥，䘓省聲。
1625,眙,chì,目,台,从目台聲,直視也。从目台聲。
1626,眚,shěng,目,生,从目生聲,目病生翳也。从目生聲。
1627,眢,yuān,目,夗,从目夗聲,目無明也。从目夗聲。
1628,眩,xuàn,目,玄,从目玄聲,目無常主也。从目玄聲。
1629,砧,zhēn,石,占,从石占聲,石柎也。从石占聲。
1630,破,pò,石,皮,从石皮聲,石碎也。从石皮聲。
1631,砺,lì,石,厲,从石厲聲,䃺也。从石厲聲。經典通用厲。
1632,砻,lóng,石,龍,从石龍聲,䃺也。从石龍聲。天子之桷，椓而礱之。
1633,砾,lì,石,樂,从石樂聲,小石也。从石樂聲。
1634,础,chǔ,石,楚,从石楚聲,礩也。从石楚聲。
1635,祥,xiáng,示,羊,从示羊聲,福也。从示羊聲。一云善。
1636,祧,tiāo,示,兆,从示兆聲,遷廟也。从示兆聲。
1637,祯,zhēn,示,貞,从示貞聲,祥也。从示貞聲。
1638,秘,mì,示,必,从示必聲,神也。从示必聲。
1639,租,zū,禾,且,从禾且聲,田賦也。从禾且聲。
1640,秧,yāng,禾,央,从禾央聲,禾若秧穰也。从禾央聲。
1641,秩,zhì,禾,失,从禾失聲,積也。从禾失聲。《詩》曰：“䆅之秩秩。”
1642,积,jī,禾,責,从禾責聲,聚也。从禾責聲。
1643,称,chēng,禾,爯,从禾爯聲,銓也。从禾爯聲。春分而禾生。日夏至，晷景可度。禾有秒，秋分而秒定。律數：十二秒而當一分，十分而寸。其以爲重：十二粟爲一分，十二分爲一銖。故諸程品皆从禾。
1644,窈,yǎo,穴,幼,从穴幼聲,深遠也。从穴幼聲。
1645,窍,qiào,穴,敫,从穴敫聲,空也。从穴敫聲。
1646,笄,jī,竹,幵,从竹幵聲,簪也。从竹幵聲。
1647,笋,sǔn,竹,旬,从竹旬聲,竹胎也。从竹旬聲。
1648,笏,hù,竹,勿,从竹勿聲,公及士所搢也。从竹勿聲。案：籒文作𡇉，象形。義云佩也。古笏佩之。此字後人所加。
1649,笫,zǐ,竹,𠂔,从竹𠂔聲,牀簀也。从竹𠂔聲。
1650,粉,fěn,米,分,从米分聲,傅面者也。从米分聲。
1651,紊,wèn,糸,文,从糸文聲,亂也。从糸文聲。《商書》曰：“有條而不紊。”
1652,绠,gěng,糸,更,从糸更聲,汲井綆也。从糸更聲。
1653,绡,xiāo,糸,肖,从糸肖聲,生絲也。从糸肖聲。
1654,绢,juàn,糸,肙,从糸肙聲,繒如麥䅌。从糸肙聲。
1655,绣,xiù,糸,肅,从糸肅聲,五采備也。从糸肅聲。
1656,绦,tāo,糸,攸,从糸攸聲,扁緒也。从糸攸聲。
1657,绨,tí,糸,弟,从糸弟聲,厚繒也。从糸弟聲。
1658,缺,quē,缶,決,从缶，決省聲,器破也。从缶，決省聲。
1659,罟,gǔ,网,古,从网古聲,网也。从网古聲。
1660,羔,gāo,羊,照,从羊，照省聲,羊子也。从羊，照省聲。
1661,羞,xiū,丑,丑,从丑，丑亦聲,進獻也。从羊，羊，所進也；从丑，丑亦聲。
1662,翁,wēng,羽,公,从羽公聲,頸毛也。从羽公聲。
1663,耆,qí,老,旨,从老省，旨聲,老也。从老省，旨聲。
1664,耕,gēng,耒,井,从耒井聲,犂也。从耒井聲。一曰古者井田。
1665,耻,chǐ,心,耳,从心耳聲,辱也。从心耳聲。
1666,耽,dān,耳,冘,从耳冘聲,耳大垂也。从耳冘聲。《詩》曰：“士之耽兮。”
1667,耿,gěng,耳,烓,从耳，烓省聲,耳箸頰也。从耳，烓省聲。杜林說：耿，光也。从光，聖省。凡字皆左形右聲。杜林非也。
1668,胯,kuà,肉,夸,从肉夸聲,股也。从肉夸聲。
1669,胲,gāi,肉,亥,从肉亥聲,足大指毛也。从肉亥聲。
1670,胳,gē,肉,各,从肉各聲,亦下也。从肉各聲。
1671,胶,jiāo,肉,翏,从肉翏聲,昵也。作之以皮。从肉翏聲。
1672,能,néng,能,㠯,从肉㠯聲,熊屬。足似鹿。从肉㠯聲。能獸堅中，故稱賢能；而彊壯，稱能傑也。凡能之屬皆从能。
1673,脂,zhī,肉,旨,从肉旨聲,戴角者脂，無角者膏。从肉旨聲。
1674,脍,kuài,肉,會,从肉會聲,細切肉也。从肉會聲。
1675,舫,fǎng,舟,方,从舟方聲,船師也。《明堂月令》曰“舫人”。習水者。从舟方聲。
1676,荷,hé,艸,何,从艸何聲,芙蕖葉。从艸何聲。
1677,荼,tú,艸,余,从艸余聲,苦荼也。从艸余聲。
1678,莆,fǔ,艸,甫,从艸甫聲,萐莆也。从艸甫聲。
1679,莎,suō,艸,沙,从艸沙聲,鎬侯也。从艸沙聲。
1680,莜,diào,艸,條,从艸，條省聲,艸田器。从艸，條省聲。《論語》曰：“以杖荷莜。”今作蓧。
1681,莞,guān,艸,完,从艸完聲,艸也。可以作席。从艸完聲。
1682,莠,yǒu,艸,秀,从艸秀聲,禾粟下生莠。从艸秀聲。讀若酉。
1683,莨,láng,艸,良,从艸良聲,艸也。从艸良聲。
1684,莩,fú,艸,孚,从艸孚聲,艸也。从艸孚聲。
1685,莪,é,艸,我,从艸我聲,蘿莪，蒿屬。从艸我聲。
1686,莱,lái,艸,來,从艸來聲,蔓華也。从艸來聲。
1687,莲,lián,艸,連,从艸連聲,芙蕖之實也。从艸連聲。
1688,莳,shì,艸,時,从艸時聲,更別種。从艸時聲。
1689,莶,liǎn,艸,僉,从艸僉聲,白薟也。从艸僉聲。
1690,获,huò,禾,蒦,从禾蒦聲,刈穀也。从禾蒦聲。
1691,莸,yóu,艸,猶,从艸猶聲,水邊艸也。从艸猶聲。
1692,莹,yíng,玉,熒,从玉，熒省聲,玉色。从玉，熒省聲。一曰石之次玉者。《逸論語》曰：“如玉之瑩。”
1693,莺,yīng,鳥,榮,从鳥，榮省聲,鳥也。从鳥，榮省聲。《詩》曰：“有鶯其羽。”
1694,莼,tuán,艸,專,从艸專聲,蒲叢也。从艸專聲。
1695,莽,mǎng,茻,茻,从犬从茻，茻亦聲,南昌謂犬善逐菟艸中爲莽。从犬从茻，茻亦聲。
1696,虑,lǜ,思,虍,从思虍聲,謀思也。从思虍聲。
1697,虔,qián,虍,文,从虍文聲,虎行皃。从虍文聲。讀若矜。
1698,蚌,bàng,虫,𡴀,从虫𡴀聲,蜃屬。从虫𡴀聲。
1699,蚕,cán,䖵,朁,从䖵朁聲,任絲也。从䖵朁聲。
1700,蚨,fú,虫,夫,从虫夫聲,青蚨，水蟲，可還錢。从虫夫聲。
1701,蚩,chī,虫,之,从虫之聲,蟲也。从虫之聲。
1702,蚬,xiàn,虫,見,从虫見聲,縊女也。从虫見聲。
1703,衄,nǜ,血,丑,从血丑聲,鼻出血也。从血丑聲。
1704,衮,gǔn,衣,公,从衣公聲,天子享先王，卷龍繡於下幅，一龍蟠阿上鄉。从衣公聲。
1705,衷,zhōng,衣,中,从衣中聲,裏䙝衣。从衣中聲。《春秋傳》曰：“皆衷其衵服。”
1706,衾,qīn,衣,今,从衣今聲,大被。从衣今聲。
1707,袁,yuán,衣,叀,从衣，叀省聲,長衣皃。从衣，叀省聲。
1708,袍,páo,衣,包,从衣包聲,襺也。从衣包聲。《論語》曰：“衣弊緼袍。”
1709,袒,zhàn,衣,旦,从衣旦聲,衣縫解也。从衣旦聲。
1710,袢,fán,衣,半,从衣半聲,無色也。从衣半聲。一曰《詩》曰：“是紲袢也。”讀若普。
1711,被,bèi,衣,皮,从衣皮聲,𡪢衣，長一身有半。从衣皮聲。
1712,觊,jì,見,豈,从見豈聲,㰟𡴘也。从見豈聲。
1713,请,qǐng,言,青,从言青聲,謁也。从言青聲。
1714,诸,zhū,言,者,从言者聲,辯也。从言者聲。
1715,诹,jū,言,取,从言取聲,聚謀也。从言取聲。
1716,诺,nuò,言,若,从言若聲,𧭭也。从言若聲。
1717,读,dú,言,賣,从言賣聲,誦書也。从言賣聲。
1718,诽,fěi,言,非,从言非聲,𧩂也。从言非聲。
1719,课,kè,言,果,从言果聲,試也。从言果聲。
1720,诿,wěi,言,委,从言委聲,纍也。从言委聲。
1721,谀,yú,言,㬰,从言㬰聲,諂也。从言㬰聲。
1722,谁,shuí,言,隹,从言隹聲,何也。从言隹聲。
1723,谂,shěn,言,念,从言念聲,深諫也。从言念聲。《春秋傳》曰：“辛伯諗周桓公。”
1724,调,tiáo,言,周,从言周聲,和也。从言周聲。
1725,谅,liàng,言,京,从言京聲,信也。从言京聲。
1726,谆,zhūn,言,𦎫,从言𦎫聲,告曉之孰也。从言𦎫聲。讀若庉。
1727,谇,suì,言,卒,从言卒聲,讓也。从言卒聲。《國語》曰：“誶申胥。”
1728,谈,tán,言,炎,从言炎聲,語也。从言炎聲。
1729,豹,bào,豸,勺,从豸勺聲,似虎，圜文。从豸勺聲。
1730,豺,chái,豸,才,从豸才聲,狼屬，狗聲。从豸才聲。
1731,贼,zéi,戈,則,从戈則聲,敗也。从戈則聲。
1732,贾,gǔ,貝,襾,从貝襾聲,賈市也。从貝襾聲。一曰坐賣售也。
1733,贿,huì,貝,有,从貝有聲,財也。从貝有聲。
1734,赀,zī,貝,此,从貝此聲,小罰以財自贖也。从貝此聲。漢律：民不繇，貲錢二十二。
1735,赁,lìn,貝,任,从貝任聲,庸也。从貝任聲。
1736,赂,lù,貝,各,从貝各聲,遺也。从貝各聲。
1737,资,zī,貝,次,从貝次聲,貨也。从貝次聲。
1738,赶,qián,走,干,从走干聲,舉尾走也。从走干聲。
1739,起,qǐ,走,巳,从走巳聲,能立也。从走巳聲。
1740,趿,sà,足,及,从足及聲,進足有所擷取也。从足及聲。《爾雅》曰：“趿謂之擷。”
1741,轼,shì,車,式,从車式聲,車前也。从車式聲。
1742,载,zài,車,𢦔,从車𢦔聲,乘也。从車𢦔聲。
1743,辁,quán,車,全,从車全聲,蕃車下庳輪也。一曰無輻也。从車全聲。讀若饌。
1744,辂,lù,車,各,从車各聲,車軨前橫木也。从車各聲。
1745,逋,bū,辵,甫,从辵甫聲,亾也。从辵甫聲。
1746,逍,xiāo,辵,肖,从辵肖聲,逍遥，猶翱翔也。从辵肖聲。
1747,透,tòu,辵,秀,从辵秀聲,跳也。過也。从辵秀聲。
1748,逑,qiú,辵,求,从辵求聲,斂聚也。从辵求聲。《虞書》曰：“㫄逑孱功。”又曰：“怨匹曰逑。”
1749,递,dì,辵,虒,从辵虒聲,更易也。从辵虒聲。
1750,逖,tì,辵,狄,从辵狄聲,遠也。从辵狄聲。
1751,逗,dòu,辵,豆,从辵豆聲,止也。从辵豆聲。
1752,通,tōng,辵,甬,从辵甬聲,達也。从辵甬聲。
1753,逝,shì,辵,折,从辵折聲,往也。从辵折聲。讀若誓。
1754,逞,chěng,辵,呈,从辵呈聲,通也。从辵呈聲。楚謂疾行爲逞。《春秋傳》曰：“何所不逞欲。”
1755,速,sù,辵,束,从辵束聲,疾也。从辵束聲。
1756,造,zào,辵,告,从辵告聲,就也。从辵告聲。譚長說：造，上士也。
1757,逡,qūn,辵,夋,从辵夋聲,復也。从辵夋聲。
1758,逢,féng,辵,峯,从辵，峯省聲,遇也。从辵，峯省聲。
1759,逦,lǐ,辵,麗,从辵麗聲,行邐邐也。从辵麗聲。
1760,部,bù,邑,咅,从邑咅聲,天水狄部。从邑咅聲。
1761,郫,pí,邑,卑,从邑卑聲,蜀縣也。从邑卑聲。
1762,郭,guō,邑,𩫏,从邑𩫏聲,齊之郭氏虚。善善不能進，惡惡不能退，是以亡國也。从邑𩫏聲。
1763,郯,tán,邑,炎,从邑炎聲,東海縣。帝少昊之後所封。从邑炎聲。
1764,郴,chēn,邑,林,从邑林聲,桂陽縣。从邑林聲。
1765,郸,dān,邑,單,从邑單聲,邯鄲縣。从邑單聲。
1766,都,dū,邑,者,从邑者聲,有先君之舊宗廟曰都。从邑者聲。周禮：距國五百里爲都。
1767,酌,zhuó,酉,勺,从酉勺聲,盛酒行觴也。从酉勺聲。
1768,配,pèi,酉,己,从酉己聲,酒色也。从酉己聲。
1769,酏,yǐ,酉,也,从酉也聲,黍酒也。从酉也聲。一曰甜也。賈侍中說：酏爲鬻清。
1770,酒,jiǔ,酉,酉,从水从酉，酉亦聲,就也，所以就人性之善惡。从水从酉，酉亦聲。一曰造也，吉凶所造也。 古者儀狄作酒醪，禹嘗之而美，遂䟽儀狄。杜康作秫酒。
1771,钱,jiǎn,金,戔,从金戔聲,銚也。古田器。从金戔聲。《詩》曰：“庤乃錢鎛。”
1772,钲,zhēng,金,正,从金正聲,鐃也。似鈴，柄中，上下通。从金正聲。
1773,钳,qián,金,甘,从金甘聲,以𨮯有所劫束也。从金甘聲。
1774,钺,huì,金,戉,从金戉聲,車鑾聲也。从金戉聲。《詩》曰：“鑾聲鉞鉞。”
1775,钻,chān,金,占,从金占聲,𨮯銸也。从金占聲。一曰膏車𨮯鉆。
1776,钿,tián,金,田,从金田聲,金華也。从金田聲。
1777,铁,tiě,金,𢧤,从金𢧤聲,黑金也。从金𢧤聲。
1778,铃,líng,金,令,从金从令，令亦聲,令丁也。从金从令，令亦聲。
1779,铄,shuò,金,樂,从金樂聲,銷金也。从金樂聲。
1780,铅,qiān,金,㕣,从金㕣聲,青金也。从金㕣聲。
1781,铉,xuàn,金,玄,从金玄聲,舉鼎也。《易》謂之鉉，《禮》謂之鼏。从金玄聲。
1782,铊,shī,金,它,从金它聲,短矛也。从金它聲。
1783,铍,pī,金,皮,从金皮聲,大鍼也。一曰劒如刀裝者。从金皮聲。
1784,铎,duó,金,睪,从金睪聲,大鈴也。軍法：五人爲伍，五伍爲兩，兩司馬執鐸。从金睪聲。
1785,阄,jiū,鬥,龜,从鬥龜聲,鬭取也。从鬥龜聲。讀若三合繩糾。
1786,阅,yuè,門,說,从門，說省聲,具數於門中也。从門，說省聲。
1787,阆,làng,門,良,从門良聲,門高也。从門良聲。巴郡有閬中縣。
1788,陪,péi,𨸏,咅,从𨸏咅聲,重土也。一曰滿也。从𨸏咅聲。
1789,陬,zōu,𨸏,取,从𨸏取聲,阪隅也。从𨸏取聲。
1790,陲,chuí,𨸏,垂,从𨸏垂聲,危也。从𨸏垂聲。
1791,陴,pí,𨸏,卑,从𨸏卑聲,城上女牆俾倪也。从𨸏卑聲。
1792,陵,líng,𨸏,夌,从𨸏夌聲,大𨸏也。从𨸏夌聲。
1793,陶,táo,𨸏,匋,从𨸏匋聲,再成丘也，在濟陰。从𨸏匋聲。《夏書》曰：“東至于陶丘。”陶丘有堯城，堯嘗所居，故堯號陶唐氏。
1794,陷,xiàn,𨸏,臽,从𨸏从臽，臽亦聲,高下也。一曰陊也。从𨸏从臽，臽亦聲。
1795,顼,xū,頁,玉,从頁玉聲,頭頊頊謹皃。从頁玉聲。
1796,顽,wán,頁,元,从頁元聲,㮯頭也。从頁元聲。
1797,顾,gù,頁,雇,从頁雇聲,還視也。从頁雇聲。
1798,顿,dùn,頁,屯,从頁屯聲,下首也。从頁屯聲。
1799,颁,bān,頁,分,从頁分聲,大頭也。从頁分聲。一曰鬢也。《詩》曰：“有頒其首。”
1800,颂,róng,頁,公,从頁公聲,皃也。从頁公聲。
1801,饿,è,食,我,从食我聲,飢也。从食我聲。
1802,骊,lí,馬,麗,从馬麗聲,馬深黑色。从馬麗聲。
1803,骋,chěng,馬,甹,从馬甹聲,直馳也。从馬甹聲。
1804,验,yàn,馬,僉,从馬僉聲,馬名。从馬僉聲。
1805,骏,jùn,馬,夋,从馬夋聲,馬之良材者。从馬夋聲。
1806,鸪,gū,鳥,古,从鳥古聲,鷓鴣也。从鳥古聲。
1807,鸭,yā,鳥,甲,从鳥甲聲,鶩也。俗謂之鴨。从鳥甲聲。
1808,鸯,yāng,鳥,央,从鳥央聲,鴛鴦也。从鳥央聲。
1809,鸲,qú,鳥,句,从鳥句聲,鴝鵒也。从鳥句聲。
1810,鸳,yuān,鳥,夗,从鳥夗聲,鴛鴦也。从鳥夗聲。
1811,龛,kān,龍,合,从龍合聲,龍皃。从龍合聲。
1812,偃,yǎn,人,匽,从人匽聲,僵也。从人匽聲。
1813,假,jiǎ,人,叚,从人叚聲,非眞也。从人叚聲。一曰至也。《虞書》曰：“假于上下。”
1814,偏,piān,人,扁,从人扁聲,頗也。从人扁聲。
1815,偕,xié,人,皆,从人皆聲,彊也。从人皆聲。《詩》曰：“偕偕士子。”一曰俱也。
1816,停,tíng,人,亭,从人亭聲,止也。从人亭聲。
1817,偶,ǒu,人,禺,从人禺聲,桐人也。从人禺聲。
1818,偻,lóu,人,婁,从人婁聲,尫也。从人婁聲。周公韈僂，或言背僂。
1819,偾,fèn,人,賁,从人賁聲,僵也。从人賁聲。
1820,偿,cháng,人,賞,从人賞聲,還也。从人賞聲。
1821,傀,guī,人,鬼,从人鬼聲,偉也。从人鬼聲。《周禮》曰：“大傀異。”
1822,冕,miǎn,冃,免,从冃免聲,大夫以上冠也。邃延、垂瑬、紞纊。从冃免聲。古者黃帝初作冕。
1823,减,jiǎn,水,咸,从水咸聲,損也。从水咸聲。
1824,凑,còu,水,奏,从水奏聲,水上人所會也。从水奏聲。
1825,剪,jiǎn,刀,歬,从刀歬聲,齊斷也。从刀歬聲。
1826,副,pì,刀,畐,从刀畐聲,判也。从刀畐聲。《周禮》曰：“副辜祭。”
1827,勒,lè,革,力,从革力聲,馬頭絡銜也。从革力聲。
1828,勖,xù,力,冒,”从力冒聲,勉也。《周書》曰：“勖哉，夫子！”从力冒聲。
1829,勘,kàn,力,甚,从力甚聲,校也。从力甚聲。
1830,匏,páo,包,夸,从包，从夸聲,瓠也。从包，从夸聲。包，取其可包藏物也。
1831,匐,fú,勹,畐,从勹畐聲,伏地也。从勹畐聲。
1832,匙,chí,匕,是,从匕是聲,匕也。从匕是聲。
1833,匮,guì,匚,貴,从匚貴聲,匣也。从匚貴聲。
1834,厢,xiāng,广,相,从广相聲,廊也。从广相聲。
1835,唪,běng,口,奉,从口奉聲,大笑也。从口奉聲。讀若《詩》曰“瓜瓞菶菶”。
1836,售,shòu,口,雔,从口，雔省聲,賣去手也。从口，雔省聲。《詩》曰：“賈用不售”。
1837,唯,wěi,口,隹,从口隹聲,諾也。从口隹聲。
1838,唱,chàng,口,昌,从口昌聲,導也。从口昌聲。
1839,唳,lì,口,戾,从口戾聲,鶴鳴也。从口戾聲。
1840,唾,tuò,口,𡍮,从口𡍮聲,口液也。从口𡍮聲。
1841,啁,zhāo,口,周,从口周聲,啁，嘐也。从口周聲。
1842,啄,zhuó,口,豖,从口豖聲,鳥食也。从口豖聲。
1843,商,shāng,㕯,章,从㕯，章省聲,从外知内也。从㕯，章省聲。
1844,啐,cuì,口,卒,从口卒聲,驚也。从口卒聲。
1845,啖,dàn,口,炎,从口炎聲,噍啖也。从口炎聲。一曰噉。
1846,啜,chuò,口,叕,从口叕聲,嘗也。从口叕聲。一曰喙也。
1847,啧,zé,口,責,从口責聲,大呼也。从口責聲。
1848,啮,niè,齒,㓞,从齒㓞聲,噬也。从齒㓞聲。
1849,啸,xiào,口,肅,从口肅聲,吹聲也。从口肅聲。
1850,圈,juàn,囗,卷,从囗卷聲,養畜之閑也。从囗卷聲。
1851,埤,pí,土,卑,从土卑聲,增也。从土卑聲。
1852,埴,zhí,土,直,从土直聲,黏土也。从土直聲。
1853,埸,yì,土,易,从土易聲,疆也。从土易聲。
1854,培,péi,土,咅,从土咅聲,培敦。土田山川也。从土咅聲。
1855,基,jī,土,其,从土其聲,牆始也。从土其聲。
1856,堀,kū,土,屈,从土屈聲,兔堀也。从土屈聲。
1857,堂,táng,土,尚,从土尚聲,殿也。从土尚聲。
1858,堋,bèng,土,朋,从土朋聲,喪葬下土也。从土朋聲。《春秋傳》曰：“朝而堋。”《禮》謂之封，《周官》謂之窆。《虞書》曰：“堋淫于家。”
1859,堑,qiàn,土,斬,从土斬聲,阬也。一曰大也。从土斬聲。
1860,堵,dǔ,土,者,从土者聲,垣也。五版爲一堵。从土者聲。
1861,奢,shē,奢,者,从大者聲,張也。从大者聲。凡奢之屬皆从奢。
1862,娶,qǔ,女,取,从女从取，取亦聲,取婦也。从女从取，取亦聲。
1863,婉,wǎn,女,宛,从女宛聲,順也。从女宛聲。《春秋傳》曰：“太子痤婉。”
1864,婕,jié,女,疌,从女疌聲,女字也。从女疌聲。
1865,婚,hūn,女,昏,从女从昏，昏亦聲,婦家也。《禮》：娶婦以昏時，婦人陰也，故曰婚。从女从昏，昏亦聲。
1866,婢,bì,女,卑,从女从卑，卑亦聲,女之卑者也。从女从卑，卑亦聲。
1867,婧,jìng,女,青,从女青聲,竦立也。从女青聲。一曰有才也。讀若韭菁。
1868,婪,lán,女,林,从女林聲,貪也。从女林聲。杜林說：卜者黨相詐驗爲婪。讀若潭。
1869,婵,chán,女,單,从女單聲,嬋娟，態也。从女單聲。
1870,宿,sù,宀,𠈇,从宀𠈇聲,止也。从宀𠈇聲。𠈇，古文夙。
1871,寄,jì,宀,奇,从宀奇聲,託也。从宀奇聲。
1872,密,mì,山,宓,从山宓聲,山如堂者。从山宓聲。
1873,屠,tú,尸,者,从尸者聲,刳也。从尸者聲。
1874,崇,chóng,山,宗,从山宗聲,嵬高也。从山宗聲。
1875,崔,cuī,山,隹,从山隹聲,大高也。从山隹聲。
1876,崖,yá,屵,圭,从屵圭聲,高邊也。从屵圭聲。
1877,崛,jué,山,屈,从山屈聲,山短高也。从山屈聲。
1878,崞,guō,山,𩫖,从山𩫖聲,山，在鴈門。从山𩫖聲。
1879,帷,wéi,巾,隹,从巾隹聲,在㫄曰帷。从巾隹聲。
1880,常,cháng,巾,尚,从巾尚聲,下帬也。从巾尚聲。
1881,帻,zé,巾,責,从巾責聲,髮有巾曰幘。从巾責聲。
1882,帼,guó,巾,國,从巾國聲,婦人首飾。从巾國聲。
1883,庳,bì,广,卑,从广卑聲,中伏舍。从广卑聲。一曰屋庳。或讀若逋。
1884,庾,yǔ,广,臾,从广臾聲,水槽倉也。从广臾聲。一曰倉無屋者。
1885,廊,láng,广,郎,从广郎聲,東西序也。从广郎聲。《漢書》通用郎。
1886,弹,dàn,弓,單,从弓單聲,行丸也。从弓單聲。
1887,彩,cǎi,彡,采,从彡采聲,文章也。从彡采聲。
1888,得,dé,彳,㝵,从彳㝵聲,行有所得也。从彳㝵聲。
1889,悠,yōu,心,攸,从心攸聲,憂也。从心攸聲。
1890,患,huàn,心,吅,从心上貫吅，吅亦聲,憂也。从心上貫吅，吅亦聲。
1891,悫,què,心,𣪊,从心𣪊聲,謹也。从心𣪊聲。
1892,悱,fěi,心,非,从心非聲,口悱悱也。从心非聲。
1893,悴,cuì,心,卒,从心卒聲,憂也。从心卒聲。讀與《易》萃卦同。
1894,悸,jì,心,季,从心季聲,心動也。从心季聲。
1895,悼,dào,心,卓,从心卓聲,懼也。陳楚謂懼曰悼。从心卓聲。
1896,情,qíng,心,青,从心青聲,人之陰气有欲者。从心青聲。
1897,惆,chóu,心,周,从心周聲,失意也。从心周聲。
1898,惊,jīng,馬,敬,从馬敬聲,馬駭也。从馬敬聲。
1899,惕,tì,心,易,从心易聲,敬也。从心易聲。
1900,惜,xī,心,㫺,从心㫺聲,痛也。从心㫺聲。
1901,惟,wéi,心,隹,从心隹聲,凡思也。从心隹聲。
1902,惧,jù,心,瞿,从心瞿聲,恐也。从心瞿聲。
1903,惨,cǎn,心,參,从心參聲,毒也。从心參聲。
1904,惮,dàn,心,單,从心單聲,忌難也。从心單聲。一曰難也。
1905,戚,qī,戉,尗,从戉尗聲,戉也。从戉尗聲。
1906,扈,hù,邑,戶,从邑戶聲,夏后同姓所封，戰於甘者。在鄠，有扈谷、甘亭。从邑戶聲。
1907,捭,bǎi,手,卑,从手卑聲,兩手擊也。从手卑聲。
1908,据,jū,手,居,从手居聲,𢧢挶也。从手居聲。
1909,捶,chuí,手,垂,从手垂聲,以杖擊也。从手垂聲。
1910,捷,jié,手,疌,从手疌聲,獵也。軍獲得也。从手疌聲。《春秋傳》曰：“齊人來獻戎捷。”
1911,捻,niē,手,念,从手念聲,指捻也。从手念聲。
1912,掀,xiān,手,欣,从手欣聲,舉出也。从手欣聲。《春秋傳》曰：“掀公出於淖。”
1913,掇,duó,手,叕,从手叕聲,拾取也。从手叕聲。
1914,授,shòu,手,受,从手从受，受亦聲,予也。从手从受，受亦聲。
1915,掉,diào,手,卓,从手卓聲,搖也。从手卓聲。《春秋傳》曰：“尾大不掉。”
1916,掊,póu,手,咅,从手咅聲,把也。今鹽官入水取鹽爲掊。从手咅聲。
1917,掎,jǐ,手,奇,从手奇聲,偏引也。从手奇聲。
1918,掐,qiā,手,臽,从手臽聲,爪刺也。从手臽聲。
1919,排,pái,手,非,从手非聲,擠也。从手非聲。
1920,掖,yè,手,夜,从手夜聲,以手持人臂投地也。从手夜聲。一曰臂下也。
1921,掘,jué,手,屈,从手屈聲,搰也。从手屈聲。
1922,掠,lüè,手,京,从手京聲,奪取也。从手京聲。本音亮。《唐韻》或作擽。
1923,探,tān,手,罙,从手罙聲,遠取之也。从手罙聲。
1924,接,jiē,手,妾,从手妾聲,交也。从手妾聲。
